CSFII 1994-96 Food Code	Food Description in 1994-96 CSFII	GI Value	Value used in DHQ database
57308410	Multi-Grain Cheerios Plus		
57308900	"Natural Muesli, Jenny's Cuisine"		
57309100	"Nature Valley Granola, with fruit and nuts"	Null	X
57310000	"Nature Valley Granola, with cinnamon and raisins"		
57311000	"Nature Valley Granola, toasted oat mixture"		
57311700	Nu System Cuisine Toasted Grain Circles		
57311800	Nut and Honey Crunch (flakes)	77	X
57312100	"Nutri-Grain Biscuits, Whole Grain Shredded Wheat Cereal"	72.5	X
57315000	Nutri-Grain Golden Wheat (formerly Nutri-Grain Wheat)	66	X
57316100	Nutri-Grain Almond Raisin	66	X
57316200	"Nutty Nuggets, Ralston Purina"	71	X
57316300	"Oat Bran Flakes, Health Valley"	67	X
57316400	Oatmeal Crisp	Null	X
57316410	Apple Cinnamon Oatmeal Crisp (formerly Oatmeal Crisp with Apples)	Null	X
57316450	Oatmeal Crisp with Almonds	77	X
57316500	Oatmeal Raisin Crisp	Null	X
57316700	"Oh's, Crunchy Nut"		
57316710	"Oh's, Honey Graham"	71	X
57316750	"Oh's, Fruitangy, Quaker"		
57317000	"Oat flakes, fortified"	67	X
57317200	"Oat Flakes, Post"	67	X
57318000	100% Bran	42	X
57319000	"100% Natural Cereal, plain, Quaker"	Null	X
57319500	"Sun Country 100% Natural Granola, with Almonds"		
57320500	"100 % Natural Cereal, with oats, honey and raisins, Quaker"	Null	X
57321000	"100% Natural Cereal, with raisins and dates, Quaker"		
57321500	"100 % Natural Wholegrain Cereal with raisins, lowfat, Quaker"	Null	X
57322500	"Oreo O's cereal, Post"		
57323000	"Sweet Crunch, Quaker (formerly called Popeye)"	Null	X
57323050	"Sweet Puffs, Quaker"		
57323200	Pop Tarts Crunch Cereal	Null	X
57325000	Product 19	76	X
57327450	Quaker Oat Bran Cereal	55	X
57327500	Quaker Oatmeal Squares (formerly Quaker Oat Squares)	77	X
57328000	Quisp	Null	X
57329000	"Raisin bran, NFS"	61	X
57330000	"Raisin Bran, Kellogg"	61	X
57330500	"Raisin Bran, Nutri System"		
57331000	"Raisin Bran, Post"	61	X
57332000	"Raisin Bran, Ralston Purina"	61	X
57332050	"Raisin Bran, Total"	61	X
57332100	Raisin Nut Bran	Null	X
57332300	"Super Raisin Bran, New Morning"		
57333000	Raisin Grape-Nuts	71	X
57334000	Raisin Life		
57335500	"Raisin Squares Mini-Wheats, Kellogg's (formerly Raisin Squares)"	65	X
57335530	Razzle Dazzle Rice Krispies		
57335550	Reese's Peanut Butter Puffs cereal	Null	X
57336000	Rice Chex	89	X
57337000	"Rice Flakes, NFS"	Null	X
57339000	Rice Krispies	82	X
57339500	Rice Krispies Treats Cereal (Kellogg's)	82	X
57340000	"Rice, puffed"	87	X
57340200	Ripple Crisp Golden Corn	80	X
57340210	"Ripple Crisp Honey Bran, General Mills"		
57341000	Shredded Wheat'N Bran	61	X
57342500	S'mores Crunch		
57344000	Special K	69	X
57344050	"Spider-Man, Ralston"		
57344100	Sprinkle Spangles		
57346200	"Sun Crunchers Cereal, General Mills"	Null	X
57346500	"Toasted Oatmeal, Honey Nut (Quaker)"	77	X
57347000	Corn Pops	80	X
57347500	"Strawberry Squares Mini-Wheats, Kellogg's (formerly Strawberry Squares)"	72	X
57348000	"Frosted corn flakes, NFS"	55	X
57349000	"Frosted Flakes, Kellogg"	55	X
57349010	"Cocoa Frosted Flakes, Kellogg's"		
57350000	"Frosted Flakes, Ralston Purina"		
57352000	Sugar-Sparkled Flakes		
57353000	Sugar-Sparkled Rice Krinkles		
57354000	Sun Flakes		
57355000	Golden Crisp (Formerly called Super Golden Crisp)	71	X
57401100	Toasted oat cereal	74	X
57402000	Team	82	X
57402600	"Temptations, French Vanilla Almond, Kellogg's"	Null	X
57402610	"Temptations, Honey Roasted Pecan, Kellogg's"	Null	X
57403100	"Toasties, Post"	Null	X
57404100	Malt-O-Meal Toasty O's	74	X
57406100	Total	76	X
57406200	Triples	Null	X
57407100	Trix	Null	X
57408100	Uncle Sam's Hi Fiber Cereal	42	X
57409100	"Waffle Crisp, Post"	Null	X
57410000	Weetabix Whole Wheat Cereal	70	X
57411000	Wheat Chex	58	X
57412000	"Wheat germ, plain"	Null	X
57413000	"Wheat germ, with sugar and honey"	Null	X
57416000	"Wheat, puffed, plain"	74	X
57416010	"Wheat, puffed, presweetened with sugar"	71	X
57417000	"Shredded Wheat, 100%"	75	X
57417500	Shredded Wheat with Oat Bran		
57418000	Wheaties	37	X
57418200	"Wheaties, Honey Frosted (formerly Wheaties Honey Gold)"	72	X
57601100	"Wheat bran, unprocessed"		
57602100	"Oats, raw"		
57602500	"Oat bran, uncooked"		
57603100	Rice polishings		
57603200	"Rice bran, uncooked"		
57604100	"Whole wheat, cracked"		
57801000	"Barley cereal, baby food, dry, instant"		
57801200	"Corn cereal, baby food, dry, instant"		
57802000	"High protein cereal, baby food, dry, instant"		
57803000	"Mixed cereal, baby food, dry, instant"		
57804000	"Oatmeal cereal, baby food, dry, instant"		
57805000	"Rice cereal, baby food, dry, instant"	Null	X
57805080	"Rice cereal with apples, baby food, dry, instant"		
57805100	"Rice cereal with bananas, baby food, dry, instant"		
57805200	"Rice cereal with mango, baby food, dry, instant"		
57805500	"Brown rice cereal, baby food, dry, instant"		
57806000	"Mixed cereal with bananas, baby food, dry, instant"		
57806100	"Oatmeal cereal with bananas, baby food, dry, instant"		
57806200	"Oatmeal cereal with fruit, baby food, dry, instant, toddler"		
57807010	"Whole wheat cereal with apples, baby food, dry, instant"		
57820000	"Cereal, baby food, jarred, NFS"		
57820100	"Rice cereal, baby food, jarred, NFS"		
57822000	"Mixed cereal with applesauce and bananas, baby food, jarred"		
57823000	"Oatmeal with applesauce and bananas, baby food, jarred"		
57824000	"Rice cereal with applesauce and bananas, baby food, jarred"		
57824500	"Rice cereal with mixed fruit, baby food, jarred"		
57830100	"Gerber Graduates Finger Snacks Cereal, baby food"		
58100100	"Burrito with beef, no beans"	Null	X
58100110	Burrito with beef and beans	34	X
58100120	"Burrito with beef, beans, and cheese"	34	X
58100130	"Burrito with beef and cheese, no beans"	29.9	X
58100140	"Burrito with beef, beans, cheese, and sour cream"	32.9	X
58100150	"Burrito with beef and potato, no beans"	Null	X
58100180	Burrito with pork and beans	Null	X
58100200	"Burrito with chicken, no beans"	Null	X
58100210	Burrito with chicken and beans	Null	X
58100220	"Burrito with chicken, beans, and cheese"	Null	X
58100230	Burrito with chicken and cheese	Null	X
58100240	"Burrito with chicken, NFS"	Null	X
58100300	"Burrito with beans and rice, meatless"	Null	X
58100310	"Burrito with beans, meatless"	Null	X
58100320	"Burrito with beans and cheese, meatless"	34	X
58100330	"Burrito with rice, beans, cheese, sour cream, lettuce, tomato and guacamole, meatless"	Null	X
58100340	"Burrito with eggs, sausage, cheese and vegetables"	30.8	X
58100350	"Burrito with eggs and cheese, no beans"		
58100360	"Chilaquiles, tortilla casserole with salsa, cheese, and egg"	Null	X
58100370	"Chilaquiles, tortilla casserole with salsa and cheese, no egg"	Null	X
58100400	"Enchilada with beef, no beans"	Null	X
58100510	Enchilada with beef and beans	Null	X
58100520	"Enchilada with beef, beans, and cheese"	Null	X
58100530	"Enchilada with beef and cheese, no beans"	Null	X
58100560	"Enchilada with ham and cheese, no beans"	Null	X
58100600	"Enchilada with chicken, tomato-based sauce"	Null	X
58100610	"Enchilada with chicken and beans, tomato-based sauce"	Null	X
58100620	"Enchilada with chicken, beans, and cheese, tomato- based sauce"	Null	X
58100630	"Enchilada with chicken and cheese, no beans, tomato- based sauce"	Null	X
58100710	"Enchilada with beans, meatless"	Null	X
58100720	"Enchilada with beans and cheese, meatless"	Null	X
58100800	"Enchilada with cheese, meatless, no beans"	Null	X
58100900	"Enchilada with seafood, tomato-based sauce"	Null	X
58101200	"Flauta, NFS"		
58101230	Flauta with beef		
58101240	Flauta with chicken	Null	X
58101300	"Taco or tostada with beef, cheese and lettuce"	67.5	X
58101310	"Taco or tostada with beef, lettuce, tomato and salsa"	Null	X
58101320	"Taco or tostada with beef, cheese, lettuce, tomato and salsa"	57.7	X
58101350	"Soft taco with beef, cheese, lettuce, tomato and sour cream"	Null	X
58101400	"Soft taco with beef, cheese, and lettuce"	30	X
58101450	"Soft taco with chicken, cheese, and lettuce"	Null	X
58101510	"Taco or tostada with chicken or turkey, lettuce, tomato and salsa"	Null	X
58101520	"Taco or tostada with chicken, cheese, lettuce, tomato and salsa"	Null	X
58101540	"Taco or tostada with fish, lettuce, tomato, salsa"	Null	X
58101710	"Taco or tostada with beans, meatless, with lettuce, tomato and salsa"	Null	X
58101720	"Taco or tostada with beans and cheese, meatless, with lettuce, tomato and salsa"	Null	X
58101730	"Taco or tostada with beans, cheese, meat, lettuce, tomato and salsa"	55	X
58101800	Ground beef with tomato sauce and taco seasonings on a cornbread crust	Null	X
58101820	"Mexican casserole made with ground beef, beans, tomato sauce, cheese, taco seasonings, and corn chips"	Null	X
58101830	"Mexican casserole made with ground beef, tomato sauce, cheese, taco seasonings, and corn chips"	Null	X
58101910	"Taco or tostada salad with beef and cheese, corn chips"	56.1	X
58101930	"Taco or tostada salad with beef and cheese, fried flour tortilla"	Null	X
58101940	"Taco or tostada salad, meatless, with cheese, fried flour tortilla"	Null	X
58103110	Tamale with meat and/or poultry	61.7	X
58103210	"Tamale, meatless, Puerto Rican or Caribbean style"		
58103250	"Tamale, plain, meatless, no sauce, Mexican style"	Null	X
58103310	Tamale casserole with meat	Null	X
58104080	"Nachos with beef, beans, cheese, and sour cream"	Null	X
58104090	Nachos with cheese and sour cream		
58104100	"Nachos with cheese, meatless, no beans"		
58104110	"Nachos with beans, no cheese"		
58104120	Nachos with beans and cheese	Null	X
58104130	"Nachos with beef, beans, and cheese"	Null	X
58104140	Nachos with beef and cheese	Null	X
58104160	Nachos with chili		
58104180	"Nachos with beef, beans, cheese, tomatoes and onions"	Null	X
58104250	Nachos with chicken or turkey and cheese	Null	X
58104260	"Chalupa with beans, cheese, lettuce and tomato"	Null	X
58104310	"Chalupa with beans, chicken, cheese, lettuce and tomato"	Null	X
58104450	Chimichanga with beef and tomato	Null	X
58104490	"Chimichanga, NFS"	Null	X
58104500	"Chimichanga with beef, beans, lettuce and tomato"	Null	X
58104510	"Chimichanga with beef, cheese, lettuce and tomato"	Null	X
58104520	"Chimichanga with beans and cheese, meatless, with lettuce and tomato"	Null	X
58104530	Chimichanga with chicken and cheese	Null	X
58104550	"Chimichanga with chicken, sour cream, lettuce and tomato, no cheese"	Null	X
58104600	Chimichanga with beef and rice	Null	X
58104710	"Quesadilla with cheese, meatless"	Null	X
58104730	Quesadilla with meat and cheese	Null	X
58104810	Taquitoes	Null	X
58105000	Fajita with chicken and vegetables	30.5	X
58105050	Fajita with beef and vegetables	Null	X
58105100	"Pupusa, cheese-filled"		
58105110	"Pupusa, meat-filled"		
58106210	"Pizza, cheese, NS as to type of crust"	60	X
58106220	"Pizza, cheese, thin crust"	60	X
58106230	"Pizza, cheese, thick crust"	60	X
58106310	"Pizza, cheese, with vegetables, NS as to type of crust"	49	X
58106320	"Pizza, cheese, with vegetables, thin crust"	49	X
58106330	"Pizza, cheese, with vegetables, thick crust"	49	X
58106360	"Pizza, cheese, with fruit, thick crust"	60	X
58106510	"Pizza with meat, NS as to type of crust"	30	X
58106520	"Pizza with meat, thin crust"	30	X
58106530	"Pizza with meat, thick crust"	36	X
58106710	"Pizza with meat and vegetables, NS as to type of crust"	30	X
58106720	"Pizza with meat and vegetables, thin crust"	30	X
58106730	"Pizza with meat and vegetables, thick crust"	36	X
58106740	"Pizza with meat and fruit, NS as to type of crust"		
58106750	"Pizza with meat and fruit, thin crust"	30	X
58106760	"Pizza with meat and fruit, thick crust"	36	X
58106780	"Pizza with meat and vegetables, lowfat, thin crust"	30	X
58106810	"Pizza with beans and vegetables, NS as to type of crust"		
58106820	"Pizza with beans and vegetables, thin crust"	Null	X
58106830	"Pizza with beans and vegetables, thick crust"	Null	X
58106900	"Pizza with seafood, NS as to type of crust"		
58106910	"Pizza with seafood, thin crust"	Null	X
58106920	"Pizza with seafood, thick crust"	Null	X
58107000	Ground beef with tomato sauce on a pizza crust	Null	X
58107030	"Pizza, no cheese, NS as to type of crust"		
58107050	"Pizza, no cheese, thin crust"		
58107100	"Pizza, no cheese, thick crust"	80	X
58107210	"White pizza, NS as to type of crust"		
58107220	"White pizza, thin crust"	Null	X
58107230	"White pizza, thick crust"	Null	X
58108000	"Calzone, with cheese, meatless"	Null	X
58108010	"Calzone, with meat and cheese"	Null	X
58108030	"Panzerotti, with meat, vegetables, and cheese"		
58108040	"Panzerotti, with vegetables and cheese"		
58108050	Pizza rolls	Null	X
58109000	"Italian pie, meatless"	60	X
58109010	Italian pie with meat		
58110110	"Egg roll, meatless"	50	X
58110120	"Egg roll, with shrimp"	50	X
58110130	"Egg roll, with beef and/or pork"	50	X
58110170	"Egg roll, with chicken or turkey"	50	X
58110200	"Roll with meat and/or shrimp, vegetables and rice paper (not fried)"		
58111110	"Won ton (wonton), fried, meat filled"	Null	X
58111200	"Puffs, fried, crab meat and cream cheese filled"		
58112110	"Dim sum, meat filled (egg roll-type)"		
58112510	"Dumpling, steamed, filled with meat, poultry, or seafood"	Null	X
58113110	"Dumpling, fried, pork"	Null	X
58115110	"Tamale casserole, Puerto Rican style (Tamales en cazuela)"	Null	X
58115150	"Tamal in a leaf, Puerto Rican style (Tamales en hoja)"		
58115210	"Taco with crab meat, Puerto Rican style (Taco de jueye)"		
58116110	"Meat turnover, Puerto Rican style (Pastelillo de carne; Empanadilla)"	Null	X
58116120	"Empanada, Mexican turnover, filled with meat and vegetables"		
58116210	"Meat pie, Puerto Rican style (Pastelon de carne)"		
58116310	"Cheese turnover, Puerto Rican style (Pastelillo de queso; Empanadilla)"	Null	
58116410	"Dumpling, fried, Puerto Rican style"	Null	X
58117110	"Cornmeal fritter, Puerto Rican style (Arepa; P.R. arepita)"	Null	X
58117210	"Cornmeal stick, Puerto Rican style (Surullo)"		
58117310	"Kibby, Puerto Rican style (beef and bulgur) (Plato Arabe)"		
58117410	"Codfish fritter, Puerto Rican style (Bacalaito)"		
58117510	"Hallaca, Puerto Rican style (hominy, pork or ham, vegetables)"		
58118110	"Cornstarch coconut dessert, Puerto Rican style (Tembleque)"		
58118210	"Cornmeal coconut dessert, Puerto Rican style (Harina de maiz con coco)"		
58120110	"Crepes, filled with meat, fish, or poultry, with sauce"		
58120120	"Crepe, filled with beef, pork, fish and/or poultry, no sauce on top"		
58121410	"Dumpling, plain"	Null	X
58121510	"Dumpling, meat-filled"	Null	X
58121610	"Dumpling, potato- or cheese-filled"	52	X
58122210	"Gnocchi, cheese"	68	X
58122220	"Gnocchi, potato"		
58122250	"Kishke, stuffed derma"		
58122310	"Knish, potato"		
58122320	"Knish, cheese"		
58122330	"Knish, meat"		
58123110	"Manapua, filled with meat"		
58123120	"Manapua, filled with bean paste, meatless"		
58124110	Matzo ball		
58124210	"Pastry, cheese-filled"		
58124250	Spanakopitta	Null	
58124500	"Pastry, filled with potatoes and peas, fried"		
58125110	"Quiche with meat, poultry or fish"		
58125120	"Spinach quiche, meatless"		
58125180	"Cheese quiche, meatless"		
58126000	Bierock (turnover filled with ground beef and cabbage mixture)	Null	X
58126110	"Turnover, meat-filled, no gravy"	Null	X
58126120	"Turnover, meat-filled, with gravy"	Null	X
58126130	"Turnover, meat- and cheese-filled, no gravy"	Null	X
58126140	"Turnover, meat- and bean-filled, no gravy"		
58126150	"Turnover, meat- and cheese-filled, tomato-based sauce"	Null	X
58126170	"Turnover, meat-and vegetable- filled (no potatoes, no gravy)"	Null	X
58126180	"Turnover, meat-, potato-, and vegetable-filled, no gravy"		
58126270	"Turnover, chicken- or turkey-, and cheese-filled, no gravy"	Null	X
58126280	"Turnover, chicken- or turkey-, and vegetable-filled"	Null	X
58126310	"Turnover, chicken, with gravy"		
58127110	Vegetables in pastry		
58127150	Vegetables and cheese in pastry		
58127200	"Croissant sandwich, filled with broccoli and cheese"		
58127210	"Croissant sandwich, filled with ham and cheese"		
58127220	"Croissant sandwich, filled with chicken, broccoli, and cheese sauce"	Null	X
58127250	Croissant sandwich with vegetables and cheese		
58127270	Croissant sandwich with sausage and egg		
58127290	Croissant sandwich with bacon and egg		
58127310	"Croissant sandwich with ham, egg, and cheese"	Null	X
58127330	"Croissant sandwich with sausage, egg, and cheese"	Null	X
58127350	"Croissant sandwich with bacon, egg, and cheese"	Null	X
58128000	Biscuit with gravy	Null	X
58128110	Chicken cornbread		
58128120	Cornmeal dressing with chicken or turkey and vegetables	Null	X
58128210	Dressing with oysters	Null	X
58128220	Dressing with chicken or turkey and vegetables	Null	X
58128250	Dressing with meat and vegetables	Null	X
58130010	Lasagna with meat and/or poultry	46	X
58130013	"Lasagna with meat, canned"	Null	X
58130020	Lasagna with meat and spinach	Null	X
58130150	"Lasagna, with chicken or turkey, and spinach"	Null	X
58130310	"Lasagna, meatless"	46	X
58130320	"Lasagna, meatless, with spinach"	Null	X
58130610	"Lasagna with meat, whole wheat noodles"	Null	X
58130810	"Lasagna, meatless, whole wheat noodles"		
58130910	"Lasagna with meat, spinach noodles"		
58130950	"Lasagna, meatless, spinach noodles"		
58131100	"Ravioli, NS as to filling, no sauce"	39	X
58131110	"Ravioli, NS as to filling, with tomato sauce"	38.5	X
58131310	"Ravioli, meat-filled, no sauce"	39	X
58131320	"Ravioli, meat-filled, with tomato sauce or meat sauce"	38.5	X
58131323	"Ravioli, meat-filled, with tomato sauce or meat sauce, canned"	59.1	X
58131510	"Ravioli, cheese-filled, no sauce"	50	X
58131520	"Ravioli, cheese-filled, with tomato sauce"	44	
58131523	"Ravioli, cheese-filled, with tomato sauce, canned"	Null	X
58131530	"Ravioli, cheese-filled, with meat sauce"	38.5	X
58131600	"Ravioli, cheese and spinach-filled, with cream sauce"	Null	X
58132110	"Spaghetti with tomato sauce, meatless"	40	X
58132113	"Pasta with tomato sauce and cheese, canned"	40	X
58132310	Spaghetti with tomato sauce and meatballs or spaghetti with meat sauce or spaghetti with meat sauce and meatballs	52	X
58132313	"Pasta with tomato sauce and meat or meatballs, canned"	52	X
58132350	"Spaghetti with tomato sauce, meatless, whole wheat noodles"		
58132360	"Spaghetti with tomato sauce and meatballs, whole wheat noodles or spaghetti with meat sauce, whole wheat noodles or spaghetti with meat sauce and meatballs, whole wheat noodles"	52	X
58132450	"Spaghetti with tomato sauce, meatless, made with spinach noodles"	40	X
58132460	"Spaghetti with tomato sauce and meatballs made with spinach noodles, or spaghetti with meat sauce made with spinach noodles,  or spaghetti with meat sauce and meatballs made with spinach noodles"		
58132710	Spaghetti with tomato sauce and frankfurters or hot dogs	52	X
58132713	"Pasta with tomato sauce and frankfurters or hot dogs, canned"		
58132800	"Spaghetti with clam sauce, NS as to red or white"	40	X
58132810	Spaghetti with red clam sauce	40	X
58132820	Spaghetti with white clam sauce	42	X
58132910	Spaghetti with tomato sauce and chicken or turkey	52	X
58133110	"Manicotti, cheese-filled, no sauce"	Null	X
58133120	"Manicotti, cheese-filled, with tomato sauce, meatless"	Null	X
58133130	"Manicotti, cheese-filled, with meat sauce"	Null	X
58133140	"Manicotti, vegetable- and cheese-filled, with tomato sauce, meatless"	Null	X
58134110	"Stuffed shells, cheese-filled, no sauce"		
58134120	"Stuffed shells, cheese-filled, with tomato sauce, meatless"	Null	X
58134130	"Stuffed shells, cheese-filled, with meat sauce"		
58134160	"Stuffed shell, cheese- and spinach- filled, no sauce"		
58134210	"Stuffed shells, with chicken, with tomato sauce"		
58134310	"Stuffed shells, with fish and/or shellfish, with tomato sauce"		
58134610	"Tortellini, meat-filled, with tomato sauce"	Null	X
58134613	"Tortellini, meat-filled, with tomato sauce, canned"	Null	X
58134620	"Tortellini, cheese-filled, meatless, with tomato sauce"	50	X
58134623	"Tortellini, cheese-filled, meatless, with tomato sauce, canned"		
58134630	"Tortellini, cheese-filled, meatless, with vegetables and vinaigrette dressing"		
58134640	"Tortellini, cheese-filled, meatless, with vinaigrette dressing"	50	X
58134650	"Tortellini, meat-filled, no sauce"	Null	X
58134660	"Tortellini, cheese-filled, with cream sauce"	50	X
58134680	"Tortellini, cheese-filled, no sauce"		
58134710	"Tortellini, spinach-filled, with tomato sauce"	Null	X
58134720	"Tortellini, spinach-filled, no sauce"	Null	X
58134810	"Cannelloni, cheese- and spinach-filled, no sauce"	Null	X
58135110	Chow fun noodles with meat and vegetables	50.5	X
58135120	"Chow fun noodles with vegetables, meatless"	Null	X
58136110	"Lo mein, NFS"	Null	X
58136120	"Lo mein, meatless"	Null	X
58136130	"Lo mein, with shrimp"	Null	X
58140110	"Spaghetti with corned beef, Puerto Rican style"		
58140310	"Macaroni with tuna, Puerto Rican style (Macarrones con atun)"		
58145110	Macaroni or noodles with cheese	64	X
58145113	"Macaroni or noodles with cheese, canned"	64	X
58145114	"Macaroni or noodles with cheese, made from dry mix"	64	X
58145115	"Macaroni or noodles with cheese, from boxed mix with already prepared cheese sauce"	64	X
58145120	Macaroni or noodles with cheese and tuna	Null	X
58145130	Macaroni or noodles with cheese and beef	Null	X
58145140	Macaroni or noodles with cheese and tomato	40	X
58145150	Macaroni or noodles with cheese and pork or ham	Null	X
58145160	Macaroni or noodles with cheese and frankfurters or hot dogs	Null	X
58145170	Macaroni and cheese with egg	Null	X
58145190	Macaroni or noodles with cheese and chicken or turkey	Null	X
58146100	"Pasta with tomato sauce, meatless"	40	X
58146110	Pasta with meat sauce	52	X
58146120	Pasta with cheese and meat sauce	52	X
58146130	Pasta with carbonara sauce	42	X
58146150	"Pasta with cheese and tomato sauce, meatless"	40	X
58146200	"Pasta, meat-filled, with gravy, canned"		
58146300	"Pasta, whole wheat, with meat sauce"		
58146310	"Pasta, whole wheat, with tomato sauce, meatless"		
58147100	Pasta with pesto sauce	Null	X
58147110	Macaroni or noodles with beans or lentils and tomato sauce	36.3	X
58147310	"Macaroni, creamed"	50.5	X
58147330	"Macaroni, creamed, with cheese"	43.4	X
58147350	"Macaroni, creamed, with vegetables"	41.6	X
58147510	Flavored pasta	42	X
58148110	Macaroni salad	45	X
58148120	Macaroni salad with egg	Null	X
58148130	Macaroni salad with tuna	Null	X
58148140	Macaroni salad with crab meat	Null	X
58148150	Macaroni salad with shrimp	Null	X
58148160	Macaroni salad with tuna and egg	Null	X
58148170	Macaroni salad with chicken	Null	X
58148180	Macaroni salad with cheese	Null	X
58148500	"Pasta salad (macaroni or noodles, vegetables, dressing)"	45.6	X
58148550	"Pasta salad with meat (macaroni or noodles, vegetables, meat, dressing)"	Null	X
58148600	"Pasta tetrazzini, dry mix, prepared with water"		
58149110	Noodle pudding	65	X
58149160	"Noodle pudding, with milk"		
58149210	"Somen salad with noodles, lettuce, egg, fish, and pork"		
58150110	"Rice, fried, meatless"	Null	X
58150310	"Rice, fried, NFS"		
58150510	"Rice, fried, with shrimp"		
58151100	"Sushi, NFS"		
58151110	"Sushi, no vegetables, no fish"		
58151120	"Sushi, with vegetables, no fish"		
58151130	"Sushi, with vegetables and fish"		
58151140	"Sushi, with vegetables, rolled in seaweed"		
58151160	"Sushi, with egg, no vegetables, no fish, rolled in seaweed"		
58155110	"Rice with chicken, Puerto Rican style (Arroz con Pollo)"		
58155210	"Stuffed rice with chicken, Dominican style (Arroz relleno Dominicano)"		
58155310	"Paella, Valenciana style, with meat (Paella Valenciana)"		
58155320	"Seafood paella, Puerto Rican style (Paella a la marinera)"		
58155410	"Soupy rice with chicken, Puerto Rican style (Asopao de pollo)"		
58155510	"Soupy rice mixture with chicken and potatoes, Puerto Rican style"		
58155610	"Rice meal fritter, Puerto Rican style (Almojabana)"		
58155810	"Stewed rice, Puerto Rican style (arroz quisado)"		
58155910	"Rice with squid, Puerto Rican style (arroz con calamares)"		
58156110	"Fried rice, Puerto Rican style (arroz frito)"		
58156210	"Rice with vienna sausage, Puerto Rican style (arroz con salchichas)"		
58156310	"Rice with Spanish sausage, Puerto Rican style"		
58156410	"Rice with onions, Puerto Rican style (arroz con cebollas)"		
58156510	Soupy rice from Puerto Rican style Asopao de Pollo (chicken parts reported separately)		
58156610	Pigeon pea asopao (Asopao de gandules)		
58156710	"Rice with stewed beans, Puerto Rican style"		
58157110	"Spicey rice pudding, Puerto Rican style (arroz con dulce, arroz con especie)"		
58157210	"Rice pudding made with coconut milk, Puerto Rican style"		
58160110	Rice with beans		
58160120	Rice with beans and tomatoes		
58160130	Rice with beans and chicken		
58160140	Rice with beans and pork		
58160150	Red beans and rice		
58160300	Rice with peas		
58161110	Rice casserole with cheese		
58161200	"Rice, cooked with coconut milk (Arroz con coco)"		
58161300	White rice with tomato sauce		
58161310	"Rice, brown, with tomato sauce"		
58161510	Grape leaves stuffed with rice		
58161710	Rice croquette		
58162090	"Stuffed pepper, with meat"	Null	X
58162110	"Stuffed pepper, with rice and meat"		
58162120	"Stuffed pepper, with rice, meatless"		
58162130	"Stuffed tomato, with rice and meat"		
58162140	"Stuffed tomato, with rice, meatless"		
58162310	Rice pilaf	64	X
58163110	Rice with gravy		
58163130	Dirty rice	55.8	X
58163210	"Rice, creamed"		
58163310	Flavored rice mixture	54.7	X
58163330	Flavored rice mixture with cheese	Null	
58163350	"Flavored rice, white and wild"	54	X
58163360	"Flavored rice, brown and wild"	54	X
58163380	Flavored rice and pasta mixture		
58163400	"Flavored rice and pasta mixture, reduced sodium"		
58163410	Spanish rice		
58163450	Spanish rice with ground beef		
58163510	Rice dressing	64	X
58163610	Rice-vegetable medley		
58164110	Rice with raisins		
58164210	Rice dessert or salad with fruit		
58175110	Tabbouleh (bulgar with tomatoes and parsley)		
58301010	"Lasagna with cheese, tomato sauce, vegetable, dessert (frozen meal)"		
58301020	Lasagna with cheese and sauce (diet frozen meal)		
58301030	Veal lasagna (diet frozen meal)		
58301050	Lasagna with cheese and meat sauce (diet frozen meal)		
58301080	"Lasagna with cheese and meat sauce, reduced fat and sodium (diet frozen meal)"		
58301110	Vegetable lasagna (frozen meal)		
58301130	Tuna lasagna (diet frozen meal)		
58301150	Zucchini lasagna (diet frozen meal)		
58302000	Macaroni and cheese (diet frozen meal)		
58302010	"Macaroni and cheese with apples, vegetable (frozen meal)"		
58302030	"Macaroni with veal, cheese, and sauce (diet frozen meal)"		
58302040	"Macaroni with beef in tomato-based sauce, vegetable, and dessert (frozen meal)"		
58302050	Beef and noodles with meat sauce and cheese (diet frozen meal)		
58302060	"Spaghetti or noodles with beef in tomato-based sauce, lowfat, reduced sodium (diet frozen meal)"		
58302080	Noodles with vegetables in tomato-based sauce (diet frozen meal)		
58303100	"Rice, with broccoli, cheese sauce (frozen side dish)"	Null	
58303200	"Rice, with green beans, water chestnuts, in sherry mushroom sauce (frozen side dish)"		
58304010	"Spaghetti and meatballs dinner, NFS (frozen meal)"		
58304020	"Spaghetti and meatballs with tomato sauce, sliced apples, bread (frozen meal)"		
58304030	"Spaghetti and meatballs with vegetable, dessert (frozen meal)"		
58304050	Spaghetti with meat and mushroom sauce (diet frozen meal)		
58304060	Spaghetti with meat sauce (diet frozen meal)		
58304200	"Ravioli, cheese-filled, with tomato sauce (diet frozen meal)"		
58304220	Rigatoni with meat sauce and cheese (diet frozen meal)		
58304230	"Ravioli, cheese-filled, with vegetable and fruit (frozen meal)"		
58304250	"Manicotti, cheese-filled, with tomato sauce (diet frozen meal)"		
58304300	"Cannelloni, cheese-filled, with tomato sauce (diet frozen meal)"		
58304350	Linguini with clam sauce (diet frozen meal)		
58304400	Linguini with vegetables and seafood in white wine sauce (diet frozen meal)		
58305010	"Mosticolli with meatballs, sauce, bread (frozen meal)"		
58305100	"Macaroni or noodles, spinach, with chicken and cheese sauce (diet frozen meal)"		
58305200	"Pasta, spinach, with vegetables and cheese sauce (diet frozen meal)"		
